id,utcDate,matchday,homeTeam.id,homeTeam.name,awayTeam.id,awayTeam.name,score.fullTime.home,score.fullTime.away,result,home_form,away_form,home_norm,away_norm,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals,h2h_away_goals,h2h_matches_count,h2h_win_ratio,h2h_goal_difference,h2h_avg_goals,isDerby,derbyType,home_current_value_eur,home_previous_value_eur,home_value_change_pct,home_squad_avg_age,home_absolute_change,home_log_current_value,away_current_value_eur,away_previous_value_eur,away_value_change_pct,away_squad_avg_age,away_absolute_change,away_log_current_value,home_goals,home_xg,home_injury_count,home_last5_form_points,away_goals,away_xg,away_injury_count,away_last5_form_points,value_difference,value_ratio,goals_difference,goals_ratio,xg_difference,xg_ratio,form_difference,injury_difference,age_difference,home_power_index,away_power_index,power_difference,performance_ratio
441789,2023-08-18T18:30:00Z,1,12,SV Werder Bremen,5,FC Bayern München,0,4,AwayWin,0.0,0.0,sv werder bremen,fc bayern munchen,0,0,0,0,0,0,0.5,0,2.5,0,Normal,110000000.0,105000000.0,4.8,26.4,5000000.0,18.52,980000000.0,950000000.0,3.2,26.8,30000000.0,20.7,8.0,6.4,0.0,0.0,18.0,11.3,0.0,0.0,-870000000.0,0.11224489795918367,-10.0,0.4444444444444444,-4.9,0.5663716814159292,0.0,0.0,-0.40000000000000213,12.963999999999999,14.489999999999998,-1.5259999999999998,1.25
441792,2023-08-19T13:30:00Z,1,3,Bayer 04 Leverkusen,721,RB Leipzig,3,2,HomeWin,0.0,0.0,bayer 04 leverkusen,rb leipzig,0,0,0,0,0,0,0.5,0,2.5,0,Normal,620000000.0,580000000.0,6.9,25.2,40000000.0,20.25,520000000.0,500000000.0,4.0,24.1,20000000.0,20.07,8.0,6.3,0.0,0.0,6.0,7.8,0.0,2.25,100000000.0,1.1923076923076923,2.0,1.3333333333333333,-1.5,0.8076923076923077,-2.25,0.0,1.0999999999999979,14.174999999999999,14.724,-0.5490000000000013,1.2698412698412698
441794,2023-08-19T13:30:00Z,1,11,VfL Wolfsburg,44,1. FC Heidenheim 1846,2,0,HomeWin,0.0,0.0,vfl wolfsburg,1. fc heidenheim 1846,0,0,0,0,0,0,0.5,0,2.5,0,Normal,230000000.0,220000000.0,4.5,25.8,10000000.0,19.25,40000000.0,35000000.0,14.3,27.2,5000000.0,17.5,7.0,5.3,0.0,0.0,2.0,5.0,0.0,0.0,190000000.0,5.75,5.0,3.5,0.2999999999999998,1.06,0.0,0.0,-1.3999999999999986,13.475,12.25,1.2249999999999996,1.3207547169811322
441795,2023-08-19T13:30:00Z,1,2,TSG 1899 Hoffenheim,17,SC Freiburg,1,2,AwayWin,0.0,0.0,tsg 1899 hoffenheim,sc freiburg,0,0,0,0,0,0,0.5,0,2.5,1,sc freiburg vs tsg 1899 hoffenheim,190000000.0,185000000.0,2.7,25.3,5000000.0,19.06,180000000.0,170000000.0,5.9,26.5,10000000.0,19.01,8.0,5.4,0.0,0.0,7.0,7.3,0.0,0.0,10000000.0,1.0555555555555556,1.0,1.1428571428571428,-1.8999999999999995,0.7397260273972603,0.0,0.0,-1.1999999999999993,13.341999999999999,13.307,0.034999999999998366,1.4814814814814814
441796,2023-08-19T13:30:00Z,1,16,FC Augsburg,18,Borussia Mönchengladbach,4,4,Draw,1.0,0.0,fc augsburg,borussia monchengladbach,0,0,0,0,0,0,0.5,0,2.5,0,Normal,130000000.0,125000000.0,4.0,26.2,5000000.0,18.68,250000000.0,240000000.0,4.2,26.0,10000000.0,19.34,7.0,3.7,0.0,0.0,1.0,5.2,0.0,0.0,-120000000.0,0.52,6.0,7.0,-1.5,0.7115384615384616,0.0,0.0,0.1999999999999993,13.075999999999999,13.537999999999998,-0.46199999999999974,1.8918918918918919
441797,2023-08-19T13:30:00Z,1,10,VfB Stuttgart,36,VfL Bochum 1848,5,0,HomeWin,3.0,0.0,vfb stuttgart,bochum 1848,0,0,0,0,0,0,0.5,0,2.5,0,Normal,220000000.0,200000000.0,10.0,25.7,20000000.0,19.21,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,5.0,5.0,0.0,0.0,7.111111111111111,6.216666666666668,0.0,0.0,-41388888.888888896,0.8416578108395324,-2.1111111111111107,0.703125,-1.2166666666666677,0.8042895442359248,0.0,0.0,-0.40000000000000213,13.447,13.321,0.12599999999999945,1.0
441790,2023-08-19T16:30:00Z,1,4,Borussia Dortmund,1,1. FC Köln,1,0,HomeWin,0.0,0.0,borussia dortmund,1. fc koln,0,0,0,0,0,0,0.5,0,2.5,0,Normal,470000000.0,450000000.0,4.4,24.9,20000000.0,19.97,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,9.0,7.8,0.0,0.0,9.0,6.8,0.0,0.0,370000000.0,4.7,0.0,1.0,1.0,1.1470588235294117,0.0,0.0,-1.8000000000000007,13.979,12.894,1.084999999999999,1.153846153846154
441791,2023-08-20T13:30:00Z,1,28,1. FC Union Berlin,15,1. FSV Mainz 05,4,1,HomeWin,3.0,0.0,1. fc union berlin,1. fsv mainz 05,0,0,0,0,0,0,0.5,0,2.5,0,Normal,150000000.0,140000000.0,7.1,27.1,10000000.0,18.83,120000000.0,115000000.0,4.3,25.9,5000000.0,18.6,8.0,5.7,0.0,0.0,5.0,7.0,0.0,0.0,30000000.0,1.25,3.0,1.6,-1.2999999999999998,0.8142857142857143,0.0,0.0,1.2000000000000028,13.180999999999997,13.02,0.1609999999999978,1.4035087719298245
441793,2023-08-20T15:30:00Z,1,19,Eintracht Frankfurt,55,SV Darmstadt 98,1,0,HomeWin,3.0,0.0,eintracht frankfurt,darmstadt 98,0,0,0,0,0,0,0.5,0,2.5,0,Normal,280000000.0,260000000.0,7.7,26.3,20000000.0,19.45,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,11.0,7.0,0.0,0.0,7.111111111111111,6.216666666666668,0.0,0.0,18611111.111111104,1.0712008501594048,3.8888888888888893,1.546875,0.7833333333333323,1.1260053619302948,0.0,0.0,0.1999999999999993,13.614999999999998,13.321,0.2939999999999987,1.5714285714285714
441799,2023-08-25T18:30:00Z,2,721,RB Leipzig,10,VfB Stuttgart,5,1,HomeWin,3.0,0.0,rb leipzig,vfb stuttgart,0,0,0,0,0,0,0.5,0,2.5,0,Normal,520000000.0,500000000.0,4.0,24.1,20000000.0,20.07,220000000.0,200000000.0,10.0,25.7,20000000.0,19.21,6.0,7.8,0.0,2.25,5.0,5.0,0.0,0.0,300000000.0,2.3636363636363638,1.0,1.2,2.8,1.56,2.25,0.0,-1.5999999999999979,14.724,13.447,1.277000000000001,0.7692307692307693
